image_path,mask_path
GTA5/GTA5/images\00045.png,GTA5/GTA5/labels\00045.png
GTA5/GTA5/images\00046.png,GTA5/GTA5/labels\00046.png
GTA5/GTA5/images\00047.png,GTA5/GTA5/labels\00047.png
GTA5/GTA5/images\00048.png,GTA5/GTA5/labels\00048.png
GTA5/GTA5/images\00049.png,GTA5/GTA5/labels\00049.png
GTA5/GTA5/images\00050.png,GTA5/GTA5/labels\00050.png
GTA5/GTA5/images\00051.png,GTA5/GTA5/labels\00051.png
GTA5/GTA5/images\00052.png,GTA5/GTA5/labels\00052.png
GTA5/GTA5/images\00053.png,GTA5/GTA5/labels\00053.png
GTA5/GTA5/images\00054.png,GTA5/GTA5/labels\00054.png
GTA5/GTA5/images\00055.png,GTA5/GTA5/labels\00055.png
GTA5/GTA5/images\00056.png,GTA5/GTA5/labels\00056.png
GTA5/GTA5/images\00057.png,GTA5/GTA5/labels\00057.png
GTA5/GTA5/images\00058.png,GTA5/GTA5/labels\00058.png
GTA5/GTA5/images\00059.png,GTA5/GTA5/labels\00059.png
GTA5/GTA5/images\00060.png,GTA5/GTA5/labels\00060.png
GTA5/GTA5/images\00061.png,GTA5/GTA5/labels\00061.png
GTA5/GTA5/images\00062.png,GTA5/GTA5/labels\00062.png
GTA5/GTA5/images\00063.png,GTA5/GTA5/labels\00063.png
GTA5/GTA5/images\00064.png,GTA5/GTA5/labels\00064.png
GTA5/GTA5/images\00065.png,GTA5/GTA5/labels\00065.png
GTA5/GTA5/images\00066.png,GTA5/GTA5/labels\00066.png
GTA5/GTA5/images\00067.png,GTA5/GTA5/labels\00067.png
GTA5/GTA5/images\00068.png,GTA5/GTA5/labels\00068.png
GTA5/GTA5/images\00069.png,GTA5/GTA5/labels\00069.png
GTA5/GTA5/images\00070.png,GTA5/GTA5/labels\00070.png
GTA5/GTA5/images\00071.png,GTA5/GTA5/labels\00071.png
GTA5/GTA5/images\00072.png,GTA5/GTA5/labels\00072.png
GTA5/GTA5/images\00073.png,GTA5/GTA5/labels\00073.png
GTA5/GTA5/images\00074.png,GTA5/GTA5/labels\00074.png
GTA5/GTA5/images\00075.png,GTA5/GTA5/labels\00075.png
GTA5/GTA5/images\00076.png,GTA5/GTA5/labels\00076.png
GTA5/GTA5/images\00077.png,GTA5/GTA5/labels\00077.png
GTA5/GTA5/images\00078.png,GTA5/GTA5/labels\00078.png
GTA5/GTA5/images\00079.png,GTA5/GTA5/labels\00079.png
GTA5/GTA5/images\00080.png,GTA5/GTA5/labels\00080.png
GTA5/GTA5/images\00081.png,GTA5/GTA5/labels\00081.png
GTA5/GTA5/images\00082.png,GTA5/GTA5/labels\00082.png
GTA5/GTA5/images\00083.png,GTA5/GTA5/labels\00083.png
GTA5/GTA5/images\00084.png,GTA5/GTA5/labels\00084.png
GTA5/GTA5/images\00085.png,GTA5/GTA5/labels\00085.png
GTA5/GTA5/images\00086.png,GTA5/GTA5/labels\00086.png
GTA5/GTA5/images\00087.png,GTA5/GTA5/labels\00087.png
GTA5/GTA5/images\00088.png,GTA5/GTA5/labels\00088.png
GTA5/GTA5/images\00089.png,GTA5/GTA5/labels\00089.png
GTA5/GTA5/images\00090.png,GTA5/GTA5/labels\00090.png
GTA5/GTA5/images\00091.png,GTA5/GTA5/labels\00091.png
GTA5/GTA5/images\00092.png,GTA5/GTA5/labels\00092.png
GTA5/GTA5/images\00093.png,GTA5/GTA5/labels\00093.png
GTA5/GTA5/images\00094.png,GTA5/GTA5/labels\00094.png
GTA5/GTA5/images\00095.png,GTA5/GTA5/labels\00095.png
GTA5/GTA5/images\00096.png,GTA5/GTA5/labels\00096.png
GTA5/GTA5/images\00097.png,GTA5/GTA5/labels\00097.png
GTA5/GTA5/images\00098.png,GTA5/GTA5/labels\00098.png
GTA5/GTA5/images\00099.png,GTA5/GTA5/labels\00099.png
GTA5/GTA5/images\00100.png,GTA5/GTA5/labels\00100.png
GTA5/GTA5/images\00101.png,GTA5/GTA5/labels\00101.png
GTA5/GTA5/images\00102.png,GTA5/GTA5/labels\00102.png
GTA5/GTA5/images\00103.png,GTA5/GTA5/labels\00103.png
GTA5/GTA5/images\00104.png,GTA5/GTA5/labels\00104.png
GTA5/GTA5/images\00105.png,GTA5/GTA5/labels\00105.png
GTA5/GTA5/images\00106.png,GTA5/GTA5/labels\00106.png
GTA5/GTA5/images\00107.png,GTA5/GTA5/labels\00107.png
GTA5/GTA5/images\00108.png,GTA5/GTA5/labels\00108.png
GTA5/GTA5/images\00109.png,GTA5/GTA5/labels\00109.png
GTA5/GTA5/images\00110.png,GTA5/GTA5/labels\00110.png
GTA5/GTA5/images\00111.png,GTA5/GTA5/labels\00111.png
GTA5/GTA5/images\00112.png,GTA5/GTA5/labels\00112.png
GTA5/GTA5/images\00113.png,GTA5/GTA5/labels\00113.png
GTA5/GTA5/images\00114.png,GTA5/GTA5/labels\00114.png
GTA5/GTA5/images\00115.png,GTA5/GTA5/labels\00115.png
GTA5/GTA5/images\00116.png,GTA5/GTA5/labels\00116.png
GTA5/GTA5/images\00117.png,GTA5/GTA5/labels\00117.png
GTA5/GTA5/images\00118.png,GTA5/GTA5/labels\00118.png
GTA5/GTA5/images\00119.png,GTA5/GTA5/labels\00119.png
GTA5/GTA5/images\00120.png,GTA5/GTA5/labels\00120.png
GTA5/GTA5/images\00121.png,GTA5/GTA5/labels\00121.png
GTA5/GTA5/images\00122.png,GTA5/GTA5/labels\00122.png
GTA5/GTA5/images\00123.png,GTA5/GTA5/labels\00123.png
GTA5/GTA5/images\00124.png,GTA5/GTA5/labels\00124.png
GTA5/GTA5/images\00125.png,GTA5/GTA5/labels\00125.png
GTA5/GTA5/images\00126.png,GTA5/GTA5/labels\00126.png
GTA5/GTA5/images\00127.png,GTA5/GTA5/labels\00127.png
GTA5/GTA5/images\00128.png,GTA5/GTA5/labels\00128.png
GTA5/GTA5/images\00129.png,GTA5/GTA5/labels\00129.png
GTA5/GTA5/images\00130.png,GTA5/GTA5/labels\00130.png
GTA5/GTA5/images\00131.png,GTA5/GTA5/labels\00131.png
GTA5/GTA5/images\00132.png,GTA5/GTA5/labels\00132.png
GTA5/GTA5/images\00133.png,GTA5/GTA5/labels\00133.png
GTA5/GTA5/images\00134.png,GTA5/GTA5/labels\00134.png
GTA5/GTA5/images\00135.png,GTA5/GTA5/labels\00135.png
GTA5/GTA5/images\00136.png,GTA5/GTA5/labels\00136.png
GTA5/GTA5/images\00137.png,GTA5/GTA5/labels\00137.png
GTA5/GTA5/images\00138.png,GTA5/GTA5/labels\00138.png
GTA5/GTA5/images\00139.png,GTA5/GTA5/labels\00139.png
GTA5/GTA5/images\00140.png,GTA5/GTA5/labels\00140.png
GTA5/GTA5/images\00141.png,GTA5/GTA5/labels\00141.png
GTA5/GTA5/images\00142.png,GTA5/GTA5/labels\00142.png
GTA5/GTA5/images\00143.png,GTA5/GTA5/labels\00143.png
GTA5/GTA5/images\00144.png,GTA5/GTA5/labels\00144.png
GTA5/GTA5/images\00145.png,GTA5/GTA5/labels\00145.png
GTA5/GTA5/images\00146.png,GTA5/GTA5/labels\00146.png
GTA5/GTA5/images\00147.png,GTA5/GTA5/labels\00147.png
GTA5/GTA5/images\00148.png,GTA5/GTA5/labels\00148.png
GTA5/GTA5/images\00149.png,GTA5/GTA5/labels\00149.png
GTA5/GTA5/images\00150.png,GTA5/GTA5/labels\00150.png
GTA5/GTA5/images\00151.png,GTA5/GTA5/labels\00151.png
GTA5/GTA5/images\00152.png,GTA5/GTA5/labels\00152.png
GTA5/GTA5/images\00153.png,GTA5/GTA5/labels\00153.png
GTA5/GTA5/images\00154.png,GTA5/GTA5/labels\00154.png
GTA5/GTA5/images\00155.png,GTA5/GTA5/labels\00155.png
GTA5/GTA5/images\00156.png,GTA5/GTA5/labels\00156.png
GTA5/GTA5/images\00157.png,GTA5/GTA5/labels\00157.png
GTA5/GTA5/images\00158.png,GTA5/GTA5/labels\00158.png
GTA5/GTA5/images\00159.png,GTA5/GTA5/labels\00159.png
GTA5/GTA5/images\00160.png,GTA5/GTA5/labels\00160.png
GTA5/GTA5/images\00161.png,GTA5/GTA5/labels\00161.png
GTA5/GTA5/images\00162.png,GTA5/GTA5/labels\00162.png
GTA5/GTA5/images\00163.png,GTA5/GTA5/labels\00163.png
GTA5/GTA5/images\00164.png,GTA5/GTA5/labels\00164.png
GTA5/GTA5/images\00165.png,GTA5/GTA5/labels\00165.png
GTA5/GTA5/images\00166.png,GTA5/GTA5/labels\00166.png
GTA5/GTA5/images\00167.png,GTA5/GTA5/labels\00167.png
GTA5/GTA5/images\00168.png,GTA5/GTA5/labels\00168.png
GTA5/GTA5/images\00169.png,GTA5/GTA5/labels\00169.png
GTA5/GTA5/images\00170.png,GTA5/GTA5/labels\00170.png
GTA5/GTA5/images\00171.png,GTA5/GTA5/labels\00171.png
GTA5/GTA5/images\00172.png,GTA5/GTA5/labels\00172.png
GTA5/GTA5/images\00173.png,GTA5/GTA5/labels\00173.png
GTA5/GTA5/images\00174.png,GTA5/GTA5/labels\00174.png
GTA5/GTA5/images\00175.png,GTA5/GTA5/labels\00175.png
GTA5/GTA5/images\00176.png,GTA5/GTA5/labels\00176.png
GTA5/GTA5/images\00177.png,GTA5/GTA5/labels\00177.png
GTA5/GTA5/images\00178.png,GTA5/GTA5/labels\00178.png
GTA5/GTA5/images\00179.png,GTA5/GTA5/labels\00179.png
GTA5/GTA5/images\00180.png,GTA5/GTA5/labels\00180.png
GTA5/GTA5/images\00181.png,GTA5/GTA5/labels\00181.png
GTA5/GTA5/images\00182.png,GTA5/GTA5/labels\00182.png
GTA5/GTA5/images\00183.png,GTA5/GTA5/labels\00183.png
GTA5/GTA5/images\00184.png,GTA5/GTA5/labels\00184.png
GTA5/GTA5/images\00185.png,GTA5/GTA5/labels\00185.png
GTA5/GTA5/images\00186.png,GTA5/GTA5/labels\00186.png
GTA5/GTA5/images\00187.png,GTA5/GTA5/labels\00187.png
GTA5/GTA5/images\00188.png,GTA5/GTA5/labels\00188.png
GTA5/GTA5/images\00189.png,GTA5/GTA5/labels\00189.png
GTA5/GTA5/images\00190.png,GTA5/GTA5/labels\00190.png
GTA5/GTA5/images\00191.png,GTA5/GTA5/labels\00191.png
GTA5/GTA5/images\00192.png,GTA5/GTA5/labels\00192.png
GTA5/GTA5/images\00193.png,GTA5/GTA5/labels\00193.png
GTA5/GTA5/images\00194.png,GTA5/GTA5/labels\00194.png
GTA5/GTA5/images\00195.png,GTA5/GTA5/labels\00195.png
GTA5/GTA5/images\00196.png,GTA5/GTA5/labels\00196.png
GTA5/GTA5/images\00197.png,GTA5/GTA5/labels\00197.png
GTA5/GTA5/images\00198.png,GTA5/GTA5/labels\00198.png
GTA5/GTA5/images\00199.png,GTA5/GTA5/labels\00199.png
GTA5/GTA5/images\00200.png,GTA5/GTA5/labels\00200.png
GTA5/GTA5/images\00201.png,GTA5/GTA5/labels\00201.png
GTA5/GTA5/images\00202.png,GTA5/GTA5/labels\00202.png
GTA5/GTA5/images\00203.png,GTA5/GTA5/labels\00203.png
GTA5/GTA5/images\00204.png,GTA5/GTA5/labels\00204.png
GTA5/GTA5/images\00205.png,GTA5/GTA5/labels\00205.png
GTA5/GTA5/images\00206.png,GTA5/GTA5/labels\00206.png
GTA5/GTA5/images\00207.png,GTA5/GTA5/labels\00207.png
GTA5/GTA5/images\00208.png,GTA5/GTA5/labels\00208.png
GTA5/GTA5/images\00209.png,GTA5/GTA5/labels\00209.png
GTA5/GTA5/images\00210.png,GTA5/GTA5/labels\00210.png
GTA5/GTA5/images\00211.png,GTA5/GTA5/labels\00211.png
GTA5/GTA5/images\00212.png,GTA5/GTA5/labels\00212.png
GTA5/GTA5/images\00213.png,GTA5/GTA5/labels\00213.png
GTA5/GTA5/images\00214.png,GTA5/GTA5/labels\00214.png
GTA5/GTA5/images\00215.png,GTA5/GTA5/labels\00215.png
GTA5/GTA5/images\00216.png,GTA5/GTA5/labels\00216.png
GTA5/GTA5/images\00217.png,GTA5/GTA5/labels\00217.png
GTA5/GTA5/images\00218.png,GTA5/GTA5/labels\00218.png
GTA5/GTA5/images\00219.png,GTA5/GTA5/labels\00219.png
GTA5/GTA5/images\00220.png,GTA5/GTA5/labels\00220.png
GTA5/GTA5/images\00221.png,GTA5/GTA5/labels\00221.png
GTA5/GTA5/images\00222.png,GTA5/GTA5/labels\00222.png
GTA5/GTA5/images\00223.png,GTA5/GTA5/labels\00223.png
GTA5/GTA5/images\00224.png,GTA5/GTA5/labels\00224.png
GTA5/GTA5/images\00225.png,GTA5/GTA5/labels\00225.png
GTA5/GTA5/images\00226.png,GTA5/GTA5/labels\00226.png
GTA5/GTA5/images\00227.png,GTA5/GTA5/labels\00227.png
GTA5/GTA5/images\00228.png,GTA5/GTA5/labels\00228.png
GTA5/GTA5/images\00229.png,GTA5/GTA5/labels\00229.png
GTA5/GTA5/images\00230.png,GTA5/GTA5/labels\00230.png
GTA5/GTA5/images\00231.png,GTA5/GTA5/labels\00231.png
GTA5/GTA5/images\00232.png,GTA5/GTA5/labels\00232.png
GTA5/GTA5/images\00233.png,GTA5/GTA5/labels\00233.png
GTA5/GTA5/images\00234.png,GTA5/GTA5/labels\00234.png
GTA5/GTA5/images\00235.png,GTA5/GTA5/labels\00235.png
GTA5/GTA5/images\00236.png,GTA5/GTA5/labels\00236.png
GTA5/GTA5/images\00237.png,GTA5/GTA5/labels\00237.png
GTA5/GTA5/images\00238.png,GTA5/GTA5/labels\00238.png
GTA5/GTA5/images\00239.png,GTA5/GTA5/labels\00239.png
GTA5/GTA5/images\00240.png,GTA5/GTA5/labels\00240.png
GTA5/GTA5/images\00241.png,GTA5/GTA5/labels\00241.png
GTA5/GTA5/images\00242.png,GTA5/GTA5/labels\00242.png
GTA5/GTA5/images\00243.png,GTA5/GTA5/labels\00243.png
GTA5/GTA5/images\00244.png,GTA5/GTA5/labels\00244.png
GTA5/GTA5/images\00245.png,GTA5/GTA5/labels\00245.png
GTA5/GTA5/images\00246.png,GTA5/GTA5/labels\00246.png
GTA5/GTA5/images\00247.png,GTA5/GTA5/labels\00247.png
GTA5/GTA5/images\00248.png,GTA5/GTA5/labels\00248.png
GTA5/GTA5/images\00249.png,GTA5/GTA5/labels\00249.png
GTA5/GTA5/images\00250.png,GTA5/GTA5/labels\00250.png
GTA5/GTA5/images\00251.png,GTA5/GTA5/labels\00251.png
GTA5/GTA5/images\00252.png,GTA5/GTA5/labels\00252.png
GTA5/GTA5/images\00253.png,GTA5/GTA5/labels\00253.png
GTA5/GTA5/images\00254.png,GTA5/GTA5/labels\00254.png
GTA5/GTA5/images\00255.png,GTA5/GTA5/labels\00255.png
GTA5/GTA5/images\00256.png,GTA5/GTA5/labels\00256.png
GTA5/GTA5/images\00257.png,GTA5/GTA5/labels\00257.png
GTA5/GTA5/images\00258.png,GTA5/GTA5/labels\00258.png
GTA5/GTA5/images\00259.png,GTA5/GTA5/labels\00259.png
GTA5/GTA5/images\00260.png,GTA5/GTA5/labels\00260.png
GTA5/GTA5/images\00261.png,GTA5/GTA5/labels\00261.png
GTA5/GTA5/images\00262.png,GTA5/GTA5/labels\00262.png
GTA5/GTA5/images\00263.png,GTA5/GTA5/labels\00263.png
GTA5/GTA5/images\00264.png,GTA5/GTA5/labels\00264.png
GTA5/GTA5/images\00265.png,GTA5/GTA5/labels\00265.png
GTA5/GTA5/images\00266.png,GTA5/GTA5/labels\00266.png
GTA5/GTA5/images\00267.png,GTA5/GTA5/labels\00267.png
GTA5/GTA5/images\00268.png,GTA5/GTA5/labels\00268.png
GTA5/GTA5/images\00269.png,GTA5/GTA5/labels\00269.png
GTA5/GTA5/images\00270.png,GTA5/GTA5/labels\00270.png
GTA5/GTA5/images\00271.png,GTA5/GTA5/labels\00271.png
GTA5/GTA5/images\00272.png,GTA5/GTA5/labels\00272.png
GTA5/GTA5/images\00273.png,GTA5/GTA5/labels\00273.png
GTA5/GTA5/images\00274.png,GTA5/GTA5/labels\00274.png
GTA5/GTA5/images\00275.png,GTA5/GTA5/labels\00275.png
GTA5/GTA5/images\00276.png,GTA5/GTA5/labels\00276.png
GTA5/GTA5/images\00277.png,GTA5/GTA5/labels\00277.png
GTA5/GTA5/images\00278.png,GTA5/GTA5/labels\00278.png
GTA5/GTA5/images\00279.png,GTA5/GTA5/labels\00279.png
GTA5/GTA5/images\00280.png,GTA5/GTA5/labels\00280.png
GTA5/GTA5/images\00281.png,GTA5/GTA5/labels\00281.png
GTA5/GTA5/images\00282.png,GTA5/GTA5/labels\00282.png
GTA5/GTA5/images\00283.png,GTA5/GTA5/labels\00283.png
GTA5/GTA5/images\00284.png,GTA5/GTA5/labels\00284.png
GTA5/GTA5/images\00285.png,GTA5/GTA5/labels\00285.png
GTA5/GTA5/images\00286.png,GTA5/GTA5/labels\00286.png
GTA5/GTA5/images\00287.png,GTA5/GTA5/labels\00287.png
GTA5/GTA5/images\00288.png,GTA5/GTA5/labels\00288.png
GTA5/GTA5/images\00289.png,GTA5/GTA5/labels\00289.png
GTA5/GTA5/images\00290.png,GTA5/GTA5/labels\00290.png
GTA5/GTA5/images\00291.png,GTA5/GTA5/labels\00291.png
GTA5/GTA5/images\00292.png,GTA5/GTA5/labels\00292.png
GTA5/GTA5/images\00293.png,GTA5/GTA5/labels\00293.png
GTA5/GTA5/images\00294.png,GTA5/GTA5/labels\00294.png
GTA5/GTA5/images\00295.png,GTA5/GTA5/labels\00295.png
GTA5/GTA5/images\00296.png,GTA5/GTA5/labels\00296.png
GTA5/GTA5/images\00297.png,GTA5/GTA5/labels\00297.png
GTA5/GTA5/images\00298.png,GTA5/GTA5/labels\00298.png
GTA5/GTA5/images\00299.png,GTA5/GTA5/labels\00299.png
GTA5/GTA5/images\00300.png,GTA5/GTA5/labels\00300.png
GTA5/GTA5/images\00301.png,GTA5/GTA5/labels\00301.png
GTA5/GTA5/images\00302.png,GTA5/GTA5/labels\00302.png
GTA5/GTA5/images\00303.png,GTA5/GTA5/labels\00303.png
GTA5/GTA5/images\00304.png,GTA5/GTA5/labels\00304.png
GTA5/GTA5/images\00305.png,GTA5/GTA5/labels\00305.png
GTA5/GTA5/images\00306.png,GTA5/GTA5/labels\00306.png
GTA5/GTA5/images\00307.png,GTA5/GTA5/labels\00307.png
GTA5/GTA5/images\00308.png,GTA5/GTA5/labels\00308.png
GTA5/GTA5/images\00309.png,GTA5/GTA5/labels\00309.png
GTA5/GTA5/images\00310.png,GTA5/GTA5/labels\00310.png
GTA5/GTA5/images\00311.png,GTA5/GTA5/labels\00311.png
GTA5/GTA5/images\00312.png,GTA5/GTA5/labels\00312.png
GTA5/GTA5/images\00313.png,GTA5/GTA5/labels\00313.png
GTA5/GTA5/images\00314.png,GTA5/GTA5/labels\00314.png
GTA5/GTA5/images\00315.png,GTA5/GTA5/labels\00315.png
GTA5/GTA5/images\00316.png,GTA5/GTA5/labels\00316.png
GTA5/GTA5/images\00317.png,GTA5/GTA5/labels\00317.png
GTA5/GTA5/images\00318.png,GTA5/GTA5/labels\00318.png
GTA5/GTA5/images\00319.png,GTA5/GTA5/labels\00319.png
GTA5/GTA5/images\00320.png,GTA5/GTA5/labels\00320.png
GTA5/GTA5/images\00321.png,GTA5/GTA5/labels\00321.png
GTA5/GTA5/images\00322.png,GTA5/GTA5/labels\00322.png
GTA5/GTA5/images\00323.png,GTA5/GTA5/labels\00323.png
GTA5/GTA5/images\00324.png,GTA5/GTA5/labels\00324.png
GTA5/GTA5/images\00325.png,GTA5/GTA5/labels\00325.png
GTA5/GTA5/images\00326.png,GTA5/GTA5/labels\00326.png
GTA5/GTA5/images\00327.png,GTA5/GTA5/labels\00327.png
GTA5/GTA5/images\00328.png,GTA5/GTA5/labels\00328.png
GTA5/GTA5/images\00329.png,GTA5/GTA5/labels\00329.png
GTA5/GTA5/images\00330.png,GTA5/GTA5/labels\00330.png
GTA5/GTA5/images\00331.png,GTA5/GTA5/labels\00331.png
GTA5/GTA5/images\00332.png,GTA5/GTA5/labels\00332.png
GTA5/GTA5/images\00333.png,GTA5/GTA5/labels\00333.png
GTA5/GTA5/images\00334.png,GTA5/GTA5/labels\00334.png
GTA5/GTA5/images\00335.png,GTA5/GTA5/labels\00335.png
GTA5/GTA5/images\00336.png,GTA5/GTA5/labels\00336.png
GTA5/GTA5/images\00337.png,GTA5/GTA5/labels\00337.png
GTA5/GTA5/images\00338.png,GTA5/GTA5/labels\00338.png
GTA5/GTA5/images\00339.png,GTA5/GTA5/labels\00339.png
GTA5/GTA5/images\00340.png,GTA5/GTA5/labels\00340.png
GTA5/GTA5/images\00341.png,GTA5/GTA5/labels\00341.png
GTA5/GTA5/images\00342.png,GTA5/GTA5/labels\00342.png
GTA5/GTA5/images\00343.png,GTA5/GTA5/labels\00343.png
GTA5/GTA5/images\00344.png,GTA5/GTA5/labels\00344.png
GTA5/GTA5/images\00345.png,GTA5/GTA5/labels\00345.png
GTA5/GTA5/images\00346.png,GTA5/GTA5/labels\00346.png
GTA5/GTA5/images\00347.png,GTA5/GTA5/labels\00347.png
GTA5/GTA5/images\00348.png,GTA5/GTA5/labels\00348.png
GTA5/GTA5/images\00349.png,GTA5/GTA5/labels\00349.png
GTA5/GTA5/images\00350.png,GTA5/GTA5/labels\00350.png
GTA5/GTA5/images\00351.png,GTA5/GTA5/labels\00351.png
GTA5/GTA5/images\00352.png,GTA5/GTA5/labels\00352.png
GTA5/GTA5/images\00353.png,GTA5/GTA5/labels\00353.png
GTA5/GTA5/images\00354.png,GTA5/GTA5/labels\00354.png
GTA5/GTA5/images\00355.png,GTA5/GTA5/labels\00355.png
GTA5/GTA5/images\00356.png,GTA5/GTA5/labels\00356.png
GTA5/GTA5/images\00357.png,GTA5/GTA5/labels\00357.png
GTA5/GTA5/images\00358.png,GTA5/GTA5/labels\00358.png
GTA5/GTA5/images\00359.png,GTA5/GTA5/labels\00359.png
GTA5/GTA5/images\00360.png,GTA5/GTA5/labels\00360.png
GTA5/GTA5/images\00361.png,GTA5/GTA5/labels\00361.png
GTA5/GTA5/images\00362.png,GTA5/GTA5/labels\00362.png
GTA5/GTA5/images\00363.png,GTA5/GTA5/labels\00363.png
GTA5/GTA5/images\00364.png,GTA5/GTA5/labels\00364.png
GTA5/GTA5/images\00365.png,GTA5/GTA5/labels\00365.png
GTA5/GTA5/images\00366.png,GTA5/GTA5/labels\00366.png
GTA5/GTA5/images\00367.png,GTA5/GTA5/labels\00367.png
GTA5/GTA5/images\00368.png,GTA5/GTA5/labels\00368.png
GTA5/GTA5/images\00369.png,GTA5/GTA5/labels\00369.png
GTA5/GTA5/images\00370.png,GTA5/GTA5/labels\00370.png
GTA5/GTA5/images\00371.png,GTA5/GTA5/labels\00371.png
GTA5/GTA5/images\00372.png,GTA5/GTA5/labels\00372.png
GTA5/GTA5/images\00373.png,GTA5/GTA5/labels\00373.png
GTA5/GTA5/images\00374.png,GTA5/GTA5/labels\00374.png
GTA5/GTA5/images\00375.png,GTA5/GTA5/labels\00375.png
GTA5/GTA5/images\00376.png,GTA5/GTA5/labels\00376.png
GTA5/GTA5/images\00377.png,GTA5/GTA5/labels\00377.png
GTA5/GTA5/images\00378.png,GTA5/GTA5/labels\00378.png
GTA5/GTA5/images\00379.png,GTA5/GTA5/labels\00379.png
GTA5/GTA5/images\00380.png,GTA5/GTA5/labels\00380.png
GTA5/GTA5/images\00381.png,GTA5/GTA5/labels\00381.png
GTA5/GTA5/images\00382.png,GTA5/GTA5/labels\00382.png
GTA5/GTA5/images\00383.png,GTA5/GTA5/labels\00383.png
GTA5/GTA5/images\00384.png,GTA5/GTA5/labels\00384.png
GTA5/GTA5/images\00385.png,GTA5/GTA5/labels\00385.png
GTA5/GTA5/images\00386.png,GTA5/GTA5/labels\00386.png
GTA5/GTA5/images\00387.png,GTA5/GTA5/labels\00387.png
GTA5/GTA5/images\00388.png,GTA5/GTA5/labels\00388.png
GTA5/GTA5/images\00389.png,GTA5/GTA5/labels\00389.png
GTA5/GTA5/images\00390.png,GTA5/GTA5/labels\00390.png
GTA5/GTA5/images\00391.png,GTA5/GTA5/labels\00391.png
GTA5/GTA5/images\00392.png,GTA5/GTA5/labels\00392.png
GTA5/GTA5/images\00393.png,GTA5/GTA5/labels\00393.png
GTA5/GTA5/images\00394.png,GTA5/GTA5/labels\00394.png
GTA5/GTA5/images\00395.png,GTA5/GTA5/labels\00395.png
GTA5/GTA5/images\00396.png,GTA5/GTA5/labels\00396.png
GTA5/GTA5/images\00397.png,GTA5/GTA5/labels\00397.png
GTA5/GTA5/images\00398.png,GTA5/GTA5/labels\00398.png
GTA5/GTA5/images\00399.png,GTA5/GTA5/labels\00399.png
